,method,elo,elo+,elo-,rank,winrate,improvability,improvability+,improvability-,mrr,rank=1_count,rank=2_count,rank=3_count,rank>3_count,time_train_s,time_infer_s,time_train_s_per_1K,time_infer_s_per_1K,normalized-error,normalized-error-task,imputed,median_rank,median_improvability,median_loss_rescaled,median_metric_error,median_time_train_s,median_time_infer_s,median_time_train_s_per_1K,median_time_infer_s_per_1K,median_normalized-error,median_normalized-error-task,median_imputed,method_type,method_subtype,config_type,ta_name,ta_suite
10,MITRA_GPU (default),1418.3,83.4,81.0,20.587500000000002,0.6563596,0.13032150556421768,0.06866259071697806,0.06067002656839149,0.1317818925270852,1.011111111111111,1.0611111111111111,0.8722222222222222,25.055555555555557,551.4403262505456,7.907830976115333,171.24680638886096,4.216920853996909,0.5186293137685973,0.618820657246107,0.17857142857142858,15.988888888888889,0.07858187011087889,0.08439754314535225,0.18912426322582282,201.50570195913315,1.9349241256713867,137.21145866993123,3.1906839785618315,0.5234316403412015,0.6213786050822174,0.0,config,default,MITRA_GPU,Mitra_GPU,tabarena-2025-09-03
11,GBM (tuned + ensemble),1413.5,46.8,37.9,20.89246031746032,0.6510095,0.13479949302491495,0.07914360092033665,0.061797390984683676,0.07405312103070841,0.14444444444444443,0.1,0.3555555555555555,27.4,2005.5782388882506,7.959345379377168,790.3292741062376,2.499416478531453,0.6806515996860808,0.7066124800118196,0.0,21.244444444444447,0.07197399567800003,0.09020106766397534,0.1803013014516533,1417.712014289697,2.910246001349555,558.1230762464063,1.6080574966039418,0.722962221289648,0.7701678564339282,0.0,hpo,tuned_ensemble,GBM,LightGBM,tabarena-2025-06-12
12,TABPFNV2_GPU (tuned + ensemble),1408.2,86.9,72.2,21.23333333333333,0.64502925,0.13313182161229364,0.06361912702392084,0.06291843325967551,0.1259946690763852,0.6888888888888889,0.9666666666666667,1.2555555555555555,25.08888888888889,11143.881295276919,119.13138054874209,3135.102931827381,54.88274888587182,0.5643950559936338,0.615414690728583,0.17857142857142858,19.583333333333336,0.08774989882955507,0.08564041478978941,0.19059015587449896,4643.514249010881,33.22391846179963,3092.308167138006,42.68217086608409,0.5618486474756669,0.6433678413862804,0.0,hpo,tuned_ensemble,TABPFNV2_GPU,TabPFNv2_GPU,tabarena-2025-06-12
13,TABDPT_GPU (tuned + ensemble),1406.0,64.2,64.3,21.37003968253968,0.64263093,0.11891670370704895,0.05260782188535802,0.05313609758458672,0.11401812623802322,0.7222222222222222,0.9333333333333332,0.7888888888888889,25.555555555555557,49024.722736655625,2630.24177471054,4949.715559673202,278.5461132602774,0.6442083830170626,0.670669315992121,0.0,21.34444444444444,0.06590364533047663,0.07712197576203669,0.18011849775139616,19660.717350151805,427.621762474378,4833.344296885853,245.07544485546543,0.7501691580088591,0.7387477321442748,0.0,hpo,tuned_ensemble,TABDPT_GPU,TabDPT_GPU,tabarena-2025-10-20
14,TABM_GPU (tuned),1386.3,63.9,62.1,22.649404761904766,0.6201859,0.13779628047601775,0.07562863853702206,0.06148245078377261,0.09324229198148636,0.7555555555555555,0.19999999999999998,0.28888888888888886,26.755555555555556,15888.999002600189,0.5548188380305729,3531.2278390958386,0.3196819296251456,0.7096988624281543,0.7114179814167867,0.0,23.27777777777778,0.09517292150298998,0.09414816548370118,0.17869514507050027,6769.322958224349,0.21705026361677382,2538.474707235839,0.18784515758355458,0.7829435904473896,0.7657382913348666,0.0,hpo,tuned,TABM_GPU,TabM_GPU,tabarena-2025-06-12
15,GBM (tuned),1381.3,45.9,33.4,22.974801587301588,0.6144772,0.13893746359883638,0.07794102892791102,0.061828794222604885,0.061387351868759175,0.0,0.03333333333333333,0.43333333333333335,27.533333333333335,2005.5782388882506,1.0463733405347855,790.3292741062376,0.44340327666087154,0.7614288825463189,0.7446809405301469,0.0,23.988888888888887,0.08156929951763024,0.09461329607961658,0.1803126105816552,1417.712014289697,0.483569065729777,558.1230762464063,0.28350492153737616,0.806720974543145,0.7722730958229911,0.0,hpo,tuned,GBM,LightGBM,tabarena-2025-06-12
16,TABDPT_GPU (tuned),1377.6,69.0,74.5,23.21686507936508,0.61023045,0.1267463092758943,0.05607729820929944,0.054733677771430594,0.11302556794492644,0.6111111111111112,0.9722222222222222,0.95,25.46666666666667,49024.722736655625,208.77714691147918,4949.715559673202,30.73441211949332,0.6732898152606236,0.6867598177588693,0.0,21.375,0.07648658004395234,0.07676687444092631,0.18665625981730016,19660.717350151805,56.78142907884386,4833.344296885853,37.94951476212516,0.691015143785156,0.7271469800327008,0.0,hpo,tuned,TABDPT_GPU,TabDPT_GPU,tabarena-2025-10-20
17,REALMLP_GPU (tuned),1368.8,58.2,54.2,23.797420634920634,0.60004526,0.1373719049733148,0.06963184393944966,0.056131561693440635,0.08273656097069702,0.3,0.6,0.5666666666666667,26.53333333333333,18871.61269736782,1.7943057718258058,3359.123717579589,2.0889949007520507,0.7466181312950351,0.7309254112239231,0.0,25.316666666666666,0.08561423163748555,0.0748683092576562,0.18209079506326314,8191.357462022039,1.4755206320020888,2995.960987947633,1.3093962116338131,0.8897001531281304,0.7767654280985101,0.0,hpo,tuned,REALMLP_GPU,RealMLP_GPU,tabarena-2025-09-03
18,CAT (tuned + ensemble),1355.4,48.3,39.4,24.690277777777776,0.5843811,0.14549042278843052,0.07837210039303283,0.06388164463836839,0.06009422805714716,0.13333333333333333,0.06666666666666667,0.2222222222222222,27.577777777777776,11940.795007419585,2.0488051045981663,2444.440232408307,0.8019688919956914,0.7857237595033558,0.7767245146511026,0.0,25.194444444444443,0.09017693027467201,0.10083006373894904,0.18383102686868136,4221.001669075754,0.9899011982811822,1465.8584785724734,0.6896241633507443,0.9109429585489619,0.8101480092057798,0.0,hpo,tuned_ensemble,CAT,CatBoost,tabarena-2025-06-12
19,CAT (tuned),1345.9,46.5,36.9,25.324603174603173,0.57325256,0.14731795713465035,0.07819145844304617,0.06492976085342789,0.05770069780902197,0.06666666666666667,0.03333333333333333,0.24444444444444444,27.655555555555555,11940.795007419585,0.4135730689953244,2444.440232408307,0.1098600752689655,0.7934249204726812,0.78725742104824,0.0,26.577777777777776,0.0879906182277148,0.10303056930434225,0.1830739152773741,4221.001669075754,0.1140955474641588,1465.8584785724734,0.09138547661664378,0.9236584738409324,0.8527848977237101,0.0,hpo,tuned,CAT,CatBoost,tabarena-2025-06-12
20,XGB (tuned + ensemble),1343.5,52.6,51.5,25.48611111111111,0.57041913,0.1484180316037161,0.0813412458990457,0.06252043783122924,0.06220868497482974,0.14444444444444443,0.13333333333333333,0.38888888888888884,27.333333333333332,3175.7918354324406,3.998675946158076,1086.821801742101,2.6587304275170487,0.7743606771855075,0.7810438289383356,0.0,25.444444444444443,0.09292475650273699,0.10488531267532769,0.18542065524582324,1580.7604635198911,1.68497687180837,729.6075924232059,1.679864352671527,0.8574701708038175,0.857350338483756,0.0,hpo,tuned_ensemble,XGB,XGBoost,tabarena-2025-06-12
21,MNCA_GPU (tuned),1342.4,58.9,46.5,25.563095238095237,0.5690685,0.142605986283532,0.06643606993324827,0.059580211848158704,0.08027469895007179,0.5333333333333333,0.35555555555555557,0.4333333333333333,26.677777777777777,28349.737277835655,4.278725253542264,5114.569593526505,0.9035095314316842,0.8123485229606213,0.7562525203918945,0.0,26.916666666666664,0.09812925775985305,0.10090568218605536,0.18181925084597836,12411.187855773504,0.5051313241322836,5447.874597634456,0.5213396640379306,0.9117092257963079,0.8059713657572887,0.0,hpo,tuned,MNCA_GPU,ModernNCA_GPU,tabarena-2025-06-12
22,TABPFNV2_GPU (tuned),1338.0,80.1,71.2,25.8609126984127,0.56384367,0.15636646899246082,0.06361529142155206,0.06388689371022449,0.10093149029549653,0.6555555555555556,0.6777777777777778,0.5,26.166666666666668,11143.881295276919,4.1741643108072735,3135.102931827381,1.9288478770776745,0.6807490018797215,0.7023178661726623,0.17857142857142858,21.77777777777778,0.11605844092712031,0.10718332228325084,0.19613417339939035,4643.514249010881,0.7188980552885268,3092.308167138006,0.6970200978763093,0.7474472347327417,0.7412553750364776,0.0,hpo,tuned,TABPFNV2_GPU,TabPFNv2_GPU,tabarena-2025-06-12
23,CAT (default),1336.8,47.2,39.0,25.939285714285713,0.56246877,0.1485683944792486,0.07888356212590761,0.06215457102451574,0.06031765392115222,0.06666666666666667,0.39999999999999997,0.06666666666666667,27.46666666666667,192.4207382968967,0.23073120065151698,115.77420225729647,0.1446081529132084,0.7819155910448192,0.7989376136360151,0.0,25.922222222222224,0.09235440722440152,0.09546401537085017,0.18129475366429199,14.193416415320502,0.16599659125010174,6.707006454902416,0.10423390383801362,0.8902537299321209,0.8624792728037791,0.0,config,default,CAT,CatBoost,tabarena-2025-06-12
